BCN,Article,Size,Brand,Colour,MRP,SalesPrice,TotalQty,ItemCode,ItemName
G004S5,SHIRT,26,HIG,,480.0,380.0,1.0,1326,SHIRT BOYS F/S
G004S6,SHIRT,26,HIG,,480.0,380.0,1.0,1326,SHIRT BOYS F/S
G004S7,SHIRT,26,HIG,,480.0,380.0,1.0,1326,SHIRT BOYS F/S
G004S8,SHIRT,26,HIG,,480.0,380.0,1.0,1326,SHIRT BOYS F/S
G004S9,SHIRT,26,HIG,,510.0,410.0,1.0,1326,SHIRT BOYS F/S
G004SA,SHIRT,26,HIG,,510.0,410.0,1.0,1326,SHIRT BOYS F/S
G004SB,SHIRT,26,HIG,,510.0,410.0,1.0,1326,SHIRT BOYS F/S
G004SC,SHIRT,26,HIG,,570.0,470.0,1.0,1326,SHIRT BOYS F/S
G004SD,SHIRT,26,ANG,,370.0,270.0,1.0,1326,SHIRT BOYS F/S
G004SE,SHIRT,26,ANG,,370.0,270.0,1.0,1326,SHIRT BOYS F/S
G004SF,SHIRT,26,ANG,,370.0,270.0,1.0,1326,SHIRT BOYS F/S
G004SG,SHIRT,26,ANG,,370.0,270.0,1.0,1326,SHIRT BOYS F/S
G004SH,SHIRT,26,ANG,,380.0,280.0,1.0,1326,SHIRT BOYS F/S
G004SK,SHIRT,26,ANG,,450.0,350.0,1.0,1326,SHIRT BOYS F/S
G004SL,SHIRT,26,ANG,,560.0,460.0,1.0,1326,SHIRT BOYS F/S
G004SN,SHIRT,26,ANG,,560.0,460.0,1.0,1326,SHIRT BOYS F/S
G004SO,SHIRT,26,ANG,,560.0,460.0,1.0,1326,SHIRT BOYS F/S
G004SQ,SHIRT,26,ANG,,580.0,480.0,1.0,1326,SHIRT BOYS F/S
G004SR,SHIRT,26,ANG,,550.0,450.0,1.0,1326,SHIRT BOYS F/S
G004SS,SHIRT,26,ANG,,530.0,430.0,1.0,1326,SHIRT BOYS F/S
